IDTDOC,IDEPAIS,IDESTGEN,EDAD,IDCODEMUNI,IDCODEDEPTO,IDCOLCALEN,IDCOLGEN,IDCOLNATU,IDCOLBILIN,IDCOLCARAC,IDDESING,IDDESMATH,IDPUESTO
1,1,1,18,11001.0,11.0,1,1,1,0.0,1,3,3,0
1,1,1,9,15469.0,15.0,1,1,1,0.0,1,3,4,1
1,1,1,9,94001.0,94.0,1,1,1,0.0,1,3,3,0
1,1,2,18,76001.0,76.0,1,1,1,0.0,1,3,3,3
1,1,1,19,50001.0,50.0,1,1,1,0.0,1,3,3,0
1,1,1,18,95001.0,95.0,1,1,1,0.0,1,1,3,0
1,1,1,18,11001.0,11.0,1,1,1,0.0,1,3,4,3
1,1,1,28,76109.0,76.0,1,1,1,0.0,3,3,3,5
1,1,2,27,76109.0,76.0,1,1,1,0.0,3,3,3,0
1,1,1,19,76248.0,76.0,3,1,2,0.0,3,3,3,4
1,1,2,33,76001.0,76.0,3,1,2,0.0,3,2,3,6
1,1,2,19,8001.0,8.0,1,1,1,0.0,1,3,3,0
1,1,2,26,41001.0,41.0,1,1,1,0.0,1,4,4,2
1,1,1,27,5172.0,5.0,3,1,1,0.0,1,3,3,0
1,1,1,24,5172.0,5.0,3,1,1,0.0,1,3,2,0
1,1,2,18,5615.0,5.0,3,1,1,0.0,1,3,4,5
1,1,1,18,5172.0,5.0,3,1,1,0.0,1,3,3,0
1,1,2,46,5172.0,5.0,3,1,1,0.0,1,2,3,0
1,1,2,24,11001.0,11.0,3,1,1,0.0,1,3,3,4
1,1,2,24,5045.0,5.0,3,1,1,0.0,1,3,3,3
1,1,2,19,5172.0,5.0,3,1,1,0.0,1,2,3,0
3,1,1,17,5172.0,5.0,3,1,1,0.0,1,3,3,5
1,1,1,27,5172.0,5.0,3,1,1,0.0,1,3,3,0
1,1,1,22,5088.0,5.0,3,1,1,0.0,1,2,3,6
1,1,1,20,5172.0,5.0,3,1,1,0.0,1,2,3,0
1,1,1,19,5172.0,5.0,3,1,1,0.0,1,2,3,0
1,1,1,22,5172.0,5.0,3,1,1,0.0,1,3,3,0
1,1,1,23,5172.0,5.0,3,1,1,0.0,1,3,4,0
1,1,2,18,5172.0,5.0,3,1,1,0.0,1,3,4,0
1,1,1,23,5172.0,5.0,3,1,1,0.0,1,2,3,6
1,1,2,19,5172.0,5.0,3,1,1,0.0,1,3,3,0
1,1,2,19,5172.0,5.0,3,1,1,0.0,1,3,3,0
1,1,1,30,5172.0,5.0,3,1,1,0.0,1,3,3,0
1,1,2,21,5172.0,5.0,3,1,1,0.0,1,3,4,0
1,1,1,19,5172.0,5.0,3,1,1,0.0,1,3,3,0
1,1,1,22,5172.0,5.0,3,1,1,0.0,1,3,3,0
3,1,2,17,5172.0,5.0,3,1,1,0.0,1,3,3,0
1,1,2,18,5172.0,5.0,3,1,1,0.0,1,2,3,5
1,1,2,19,5172.0,5.0,3,1,1,0.0,1,3,3,0
1,1,1,23,5172.0,5.0,3,1,1,0.0,1,2,3,4
1,1,2,24,5172.0,5.0,3,1,1,0.0,1,3,3,0
1,1,1,21,5172.0,5.0,3,1,1,0.0,1,3,3,0
1,1,1,31,5172.0,5.0,3,1,1,0.0,1,3,3,5
1,1,2,22,5172.0,5.0,3,1,1,0.0,1,3,4,5
1,1,1,20,5172.0,5.0,3,1,1,0.0,1,2,3,0
1,1,2,18,20001.0,20.0,1,1,2,0.0,1,2,3,0
1,1,2,19,13670.0,13.0,1,1,1,0.0,3,2,3,0
1,1,1,20,54518.0,54.0,1,1,1,0.0,3,2,2,0
1,1,1,22,73026.0,73.0,1,1,1,0.0,1,3,3,0
1,1,2,19,73001.0,73.0,1,1,1,0.0,1,4,4,2
1,1,2,32,76834.0,76.0,1,1,1,0.0,1,3,3,3
1,1,2,24,8001.0,8.0,3,1,1,0.0,1,3,3,0
1,1,2,20,68547.0,68.0,1,1,1,0.0,1,4,5,1
3,1,1,16,8372.0,8.0,1,1,1,0.0,3,3,3,0
1,1,2,30,11001.0,11.0,3,1,2,0.0,1,2,3,0
1,1,2,29,25224.0,25.0,3,1,2,0.0,1,1,3,6
3,1,1,16,13001.0,13.0,1,1,2,0.0,1,3,3,0
3,1,2,16,13001.0,13.0,1,1,2,0.0,1,3,3,0
1,1,2,37,13001.0,13.0,1,1,2,0.0,1,2,3,0
1,1,2,18,19845.0,19.0,1,1,1,0.0,3,3,4,2
1,1,1,18,19845.0,19.0,1,1,1,0.0,3,3,4,0
3,1,1,16,73001.0,73.0,3,1,2,0.0,1,3,3,5
1,1,2,30,73001.0,73.0,3,1,2,0.0,1,3,1,0
1,1,2,21,73001.0,73.0,3,1,2,0.0,1,3,3,0
1,1,2,22,73001.0,73.0,3,1,2,0.0,1,3,3,4
3,1,2,17,73001.0,73.0,3,1,2,0.0,1,3,2,4
1,1,2,18,68001.0,68.0,1,1,1,0.0,3,3,5,0
1,1,2,18,68524.0,68.0,1,1,1,0.0,1,3,4,1
1,1,2,37,70001.0,70.0,1,1,1,0.0,1,4,5,1
1,1,1,23,85162.0,85.0,3,1,2,0.0,1,2,3,6
1,1,1,18,85001.0,85.0,3,1,2,0.0,1,2,3,6
1,1,2,40,85001.0,85.0,3,1,2,0.0,1,2,2,5
3,1,1,17,15001.0,15.0,3,1,2,0.0,1,3,3,0
1,1,2,20,25317.0,25.0,3,1,2,0.0,1,3,4,2
3,1,2,17,85162.0,85.0,3,1,2,0.0,1,3,3,5
1,1,1,25,85001.0,85.0,3,1,2,0.0,1,3,3,3
1,1,2,18,85001.0,85.0,3,1,2,0.0,1,3,3,0
3,1,2,16,85001.0,85.0,3,1,2,0.0,1,3,3,5
1,1,2,18,85001.0,85.0,3,1,2,0.0,1,3,3,0
1,1,2,19,15001.0,15.0,3,1,2,0.0,1,3,3,4
1,1,1,19,85001.0,85.0,3,1,2,0.0,1,2,3,0
3,1,1,17,85001.0,85.0,3,1,2,0.0,1,3,3,0
1,1,1,26,85001.0,85.0,3,1,2,0.0,1,3,3,6
