DEPARTAMENTO,MUNICIPIO,DEPTO,MUNICIPIO_CODE,DIVIPOLA
ANTIOQUIA,MEDELLÍN,5,1,5001
ANTIOQUIA,ABEJORRAL,5,2,5002
ANTIOQUIA,ABRIAQUÍ,5,4,5004
ANTIOQUIA,ALEJANDRÍA,5,21,5021
ANTIOQUIA,AMAGÁ,5,30,5030
ANTIOQUIA,AMALFI,5,31,5031
ANTIOQUIA,ANDES,5,34,5034
ANTIOQUIA,ANGELÓPOLIS,5,36,5036
ANTIOQUIA,ANGOSTURA,5,38,5038
ANTIOQUIA,ANORÍ,5,40,5040
ANTIOQUIA,SANTAFÉ DE ANTIOQUIA,5,42,5042
ANTIOQUIA,ANZA,5,44,5044
ANTIOQUIA,APARTADÓ,5,45,5045
ANTIOQUIA,ARBOLETES,5,51,5051
ANTIOQUIA,ARGELIA,5,55,5055
ANTIOQUIA,ARMENIA,5,59,5059
ANTIOQUIA,BARBOSA,5,79,5079
ANTIOQUIA,BELMIRA,5,86,5086
ANTIOQUIA,BELLO,5,88,5088
ANTIOQUIA,BETANIA,5,91,5091
ANTIOQUIA,BETULIA,5,93,5093
ANTIOQUIA,CIUDAD BOLÍVAR,5,101,5101
ANTIOQUIA,BRICEÑO,5,107,5107
ANTIOQUIA,BURITICÁ,5,113,5113
ANTIOQUIA,CÁCERES,5,120,5120
ANTIOQUIA,CAICEDO,5,125,5125
ANTIOQUIA,CALDAS,5,129,5129
ANTIOQUIA,CAMPAMENTO,5,134,5134
ANTIOQUIA,CAÑASGORDAS,5,138,5138
ANTIOQUIA,CARACOLÍ,5,142,5142
ANTIOQUIA,CARAMANTA,5,145,5145
ANTIOQUIA,CAREPA,5,147,5147
ANTIOQUIA,EL CARMEN DE VIBORAL,5,148,5148
ANTIOQUIA,CAROLINA,5,150,5150
ANTIOQUIA,CAUCASIA,5,154,5154
ANTIOQUIA,CHIGORODÓ,5,172,5172
ANTIOQUIA,CISNEROS,5,190,5190
ANTIOQUIA,COCORNÁ,5,197,5197
ANTIOQUIA,CONCEPCIÓN,5,206,5206
ANTIOQUIA,CONCORDIA,5,209,5209
ANTIOQUIA,COPACABANA,5,212,5212
ANTIOQUIA,DABEIBA,5,234,5234
ANTIOQUIA,DON MATÍAS,5,237,5237
ANTIOQUIA,EBÉJICO,5,240,5240
ANTIOQUIA,EL BAGRE,5,250,5250
ANTIOQUIA,ENTRERRIOS,5,264,5264
ANTIOQUIA,ENVIGADO,5,266,5266
ANTIOQUIA,FREDONIA,5,282,5282
ANTIOQUIA,FRONTINO,5,284,5284
ANTIOQUIA,GIRALDO,5,306,5306
ANTIOQUIA,GIRARDOTA,5,308,5308
ANTIOQUIA,GÓMEZ PLATA,5,310,5310
ANTIOQUIA,GRANADA,5,313,5313
ANTIOQUIA,GUADALUPE,5,315,5315
ANTIOQUIA,GUARNE,5,318,5318
ANTIOQUIA,GUATAPE,5,321,5321
ANTIOQUIA,HELICONIA,5,347,5347
ANTIOQUIA,HISPANIA,5,353,5353
ANTIOQUIA,ITAGUI,5,360,5360
ANTIOQUIA,ITUANGO,5,361,5361
ANTIOQUIA,JARDÍN,5,364,5364
ANTIOQUIA,JERICÓ,5,368,5368
ANTIOQUIA,LA CEJA,5,376,5376
ANTIOQUIA,LA ESTRELLA,5,380,5380
ANTIOQUIA,LA PINTADA,5,390,5390
ANTIOQUIA,LA UNIÓN,5,400,5400
ANTIOQUIA,LIBORINA,5,411,5411
ANTIOQUIA,MACEO,5,425,5425
ANTIOQUIA,MARINILLA,5,440,5440
ANTIOQUIA,MONTEBELLO,5,467,5467
ANTIOQUIA,MURINDÓ,5,475,5475
ANTIOQUIA,MUTATÁ,5,480,5480
ANTIOQUIA,NARIÑO,5,483,5483
ANTIOQUIA,NECOCLÍ,5,490,5490
ANTIOQUIA,NECHÍ,5,495,5495
ANTIOQUIA,OLAYA,5,501,5501
ANTIOQUIA,PEÑOL,5,541,5541
ANTIOQUIA,PEQUE,5,543,5543
ANTIOQUIA,PUEBLORRICO,5,576,5576
ANTIOQUIA,PUERTO BERRÍO,5,579,5579
ANTIOQUIA,PUERTO NARE,5,585,5585
ANTIOQUIA,PUERTO TRIUNFO,5,591,5591
ANTIOQUIA,REMEDIOS,5,604,5604
ANTIOQUIA,RETIRO,5,607,5607
ANTIOQUIA,RIONEGRO,5,615,5615
ANTIOQUIA,SABANALARGA,5,628,5628
ANTIOQUIA,SABANETA,5,631,5631
ANTIOQUIA,SALGAR,5,642,5642
ANTIOQUIA,SAN ANDRÉS,5,647,5647
ANTIOQUIA,SAN CARLOS,5,649,5649
ANTIOQUIA,SAN FRANCISCO,5,652,5652
ANTIOQUIA,SAN JERÓNIMO,5,656,5656
ANTIOQUIA,SAN JOSÉ DE LA MONTAÑA,5,658,5658
ANTIOQUIA,SAN JUAN DE URABÁ,5,659,5659
ANTIOQUIA,SAN LUIS,5,660,5660
ANTIOQUIA,SAN PEDRO,5,664,5664
ANTIOQUIA,SAN PEDRO DE URABA,5,665,5665
ANTIOQUIA,SAN RAFAEL,5,667,5667
ANTIOQUIA,SAN ROQUE,5,670,5670
ANTIOQUIA,SAN VICENTE,5,674,5674
ANTIOQUIA,SANTA BÁRBARA,5,679,5679
ANTIOQUIA,SANTA ROSA DE OSOS,5,686,5686
ANTIOQUIA,SANTO DOMINGO,5,690,5690
ANTIOQUIA,EL SANTUARIO,5,697,5697
ANTIOQUIA,SEGOVIA,5,736,5736
ANTIOQUIA,SONSON,5,756,5756
ANTIOQUIA,SOPETRÁN,5,761,5761
ANTIOQUIA,TÁMESIS,5,789,5789
ANTIOQUIA,TARAZÁ,5,790,5790
ANTIOQUIA,TARSO,5,792,5792
ANTIOQUIA,TITIRIBÍ,5,809,5809
ANTIOQUIA,TOLEDO,5,819,5819
ANTIOQUIA,TURBO,5,837,5837
ANTIOQUIA,URAMITA,5,842,5842
ANTIOQUIA,URRAO,5,847,5847
ANTIOQUIA,VALDIVIA,5,854,5854
ANTIOQUIA,VALPARAÍSO,5,856,5856
ANTIOQUIA,VEGACHÍ,5,858,5858
ANTIOQUIA,VENECIA,5,861,5861
ANTIOQUIA,VIGÍA DEL FUERTE,5,873,5873
ANTIOQUIA,YALÍ,5,885,5885
ANTIOQUIA,YARUMAL,5,887,5887
ANTIOQUIA,YOLOMBÓ,5,890,5890
ANTIOQUIA,YONDÓ,5,893,5893
ANTIOQUIA,ZARAGOZA,5,895,5895
ATLANTICO,BARRANQUILLA,8,1,8001
ATLANTICO,BARANOA,8,78,8078
ATLANTICO,CAMPO DE LA CRUZ,8,137,8137
ATLANTICO,CANDELARIA,8,141,8141
ATLANTICO,GALAPA,8,296,8296
ATLANTICO,JUAN DE ACOSTA,8,372,8372
ATLANTICO,LURUACO,8,421,8421
ATLANTICO,MALAMBO,8,433,8433
ATLANTICO,MANATÍ,8,436,8436
ATLANTICO,PALMAR DE VARELA,8,520,8520
ATLANTICO,PIOJÓ,8,549,8549
ATLANTICO,POLONUEVO,8,558,8558
ATLANTICO,PONEDERA,8,560,8560
ATLANTICO,PUERTO COLOMBIA,8,573,8573
ATLANTICO,REPELÓN,8,606,8606
ATLANTICO,SABANAGRANDE,8,634,8634
ATLANTICO,SABANALARGA,8,638,8638
ATLANTICO,SANTA LUCÍA,8,675,8675
ATLANTICO,SANTO TOMÁS,8,685,8685
ATLANTICO,SOLEDAD,8,758,8758
ATLANTICO,SUAN,8,770,8770
ATLANTICO,TUBARÁ,8,832,8832
ATLANTICO,USIACURÍ,8,849,8849
BOGOTÁ D.C.,BOGOTÁ,11,1,11001
BOLIVAR,CARTAGENA,13,1,13001
BOLIVAR,ACHÍ,13,6,13006
BOLIVAR,ALTOS DEL ROSARIO,13,30,13030
BOLIVAR,ARENAL,13,42,13042
BOLIVAR,ARJONA,13,52,13052
BOLIVAR,ARROYOHONDO,13,62,13062
BOLIVAR,BARRANCO DE LOBA,13,74,13074
BOLIVAR,CALAMAR,13,140,13140
BOLIVAR,CANTAGALLO,13,160,13160
BOLIVAR,CICUCO,13,188,13188
BOLIVAR,CÓRDOBA,13,212,13212
BOLIVAR,CLEMENCIA,13,222,13222
BOLIVAR,EL CARMEN DE BOLÍVAR,13,244,13244
BOLIVAR,EL GUAMO,13,248,13248
BOLIVAR,EL PEÑÓN,13,268,13268
BOLIVAR,HATILLO DE LOBA,13,300,13300
BOLIVAR,MAGANGUÉ,13,430,13430
BOLIVAR,MAHATES,13,433,13433
BOLIVAR,MARGARITA,13,440,13440
BOLIVAR,MARÍA LA BAJA,13,442,13442
BOLIVAR,MONTECRISTO,13,458,13458
BOLIVAR,MOMPÓS,13,468,13468
BOLIVAR,MORALES,13,473,13473
BOLIVAR,PINILLOS,13,549,13549
BOLIVAR,REGIDOR,13,580,13580
BOLIVAR,RÍO VIEJO,13,600,13600
BOLIVAR,SAN CRISTÓBAL,13,620,13620
BOLIVAR,SAN ESTANISLAO,13,647,13647
BOLIVAR,SAN FERNANDO,13,650,13650
BOLIVAR,SAN JACINTO,13,654,13654
BOLIVAR,SAN JACINTO DEL CAUCA,13,655,13655
BOLIVAR,SAN JUAN NEPOMUCENO,13,657,13657
BOLIVAR,SAN MARTÍN DE LOBA,13,667,13667
BOLIVAR,SAN PABLO,13,670,13670
BOLIVAR,SANTA CATALINA,13,673,13673
BOLIVAR,SANTA ROSA,13,683,13683
BOLIVAR,SANTA ROSA DEL SUR,13,688,13688
BOLIVAR,SIMITÍ,13,744,13744
BOLIVAR,SOPLAVIENTO,13,760,13760
BOLIVAR,TALAIGUA NUEVO,13,780,13780
BOLIVAR,TIQUISIO,13,810,13810
BOLIVAR,TURBACO,13,836,13836
BOLIVAR,TURBANÁ,13,838,13838
BOLIVAR,VILLANUEVA,13,873,13873
BOLIVAR,ZAMBRANO,13,894,13894
BOLIVAR,NOSORI,13,490,13490
BOYACA,TUNJA,15,1,15001
BOYACA,ALMEIDA,15,22,15022
BOYACA,AQUITANIA,15,47,15047
BOYACA,ARCABUCO,15,51,15051
BOYACA,BELÉN,15,87,15087
BOYACA,BERBEO,15,90,15090
BOYACA,BETÉITIVA,15,92,15092
BOYACA,BOAVITA,15,97,15097
BOYACA,BOYACÁ,15,104,15104
BOYACA,BRICEÑO,15,106,15106
BOYACA,BUENAVISTA,15,109,15109
BOYACA,BUSBANZÁ,15,114,15114
BOYACA,CALDAS,15,131,15131
BOYACA,CAMPOHERMOSO,15,135,15135
BOYACA,CERINZA,15,162,15162
BOYACA,CHINAVITA,15,172,15172
BOYACA,CHIQUINQUIRÁ,15,176,15176
BOYACA,CHISCAS,15,180,15180
BOYACA,CHITA,15,183,15183
BOYACA,CHITARAQUE,15,185,15185
BOYACA,CHIVATÁ,15,187,15187
BOYACA,CIÉNEGA,15,189,15189
BOYACA,CÓMBITA,15,204,15204
BOYACA,COPER,15,212,15212
BOYACA,CORRALES,15,215,15215
BOYACA,COVARACHÍA,15,218,15218
BOYACA,CUBARÁ,15,223,15223
BOYACA,CUCAITA,15,224,15224
BOYACA,CUÍTIVA,15,226,15226
BOYACA,CHÍQUIZA,15,232,15232
BOYACA,CHIVOR,15,236,15236
BOYACA,DUITAMA,15,238,15238
BOYACA,EL COCUY,15,244,15244
BOYACA,EL ESPINO,15,248,15248
BOYACA,FIRAVITOBA,15,272,15272
BOYACA,FLORESTA,15,276,15276
BOYACA,GACHANTIVÁ,15,293,15293
BOYACA,GAMEZA,15,296,15296
BOYACA,GARAGOA,15,299,15299
BOYACA,GUACAMAYAS,15,317,15317
BOYACA,GUATEQUE,15,322,15322
BOYACA,GUAYATÁ,15,325,15325
BOYACA,GÜICÁN,15,332,15332
BOYACA,IZA,15,362,15362
BOYACA,JENESANO,15,367,15367
BOYACA,JERICÓ,15,368,15368
BOYACA,LABRANZAGRANDE,15,377,15377
BOYACA,LA CAPILLA,15,380,15380
BOYACA,LA VICTORIA,15,401,15401
BOYACA,LA UVITA,15,403,15403
BOYACA,VILLA DE LEYVA,15,407,15407
BOYACA,MACANAL,15,425,15425
BOYACA,MARIPÍ,15,442,15442
BOYACA,MIRAFLORES,15,455,15455
BOYACA,MONGUA,15,464,15464
BOYACA,MONGUÍ,15,466,15466
BOYACA,MONIQUIRÁ,15,469,15469
BOYACA,MOTAVITA,15,476,15476
BOYACA,MUZO,15,480,15480
BOYACA,NOBSA,15,491,15491
BOYACA,NUEVO COLÓN,15,494,15494
BOYACA,OICATÁ,15,500,15500
BOYACA,OTANCHE,15,507,15507
BOYACA,PACHAVITA,15,511,15511
BOYACA,PÁEZ,15,514,15514
BOYACA,PAIPA,15,516,15516
BOYACA,PAJARITO,15,518,15518
BOYACA,PANQUEBA,15,522,15522
BOYACA,PAUNA,15,531,15531
BOYACA,PAYA,15,533,15533
BOYACA,PAZ DE RÍO,15,537,15537
BOYACA,PESCA,15,542,15542
BOYACA,PISBA,15,550,15550
BOYACA,PUERTO BOYACÁ,15,572,15572
BOYACA,QUÍPAMA,15,580,15580
BOYACA,RAMIRIQUÍ,15,599,15599
BOYACA,RÁQUIRA,15,600,15600
BOYACA,RONDÓN,15,621,15621
BOYACA,SABOYÁ,15,632,15632
BOYACA,SÁCHICA,15,638,15638
BOYACA,SAMACÁ,15,646,15646
BOYACA,SAN EDUARDO,15,660,15660
BOYACA,SAN JOSÉ DE PARE,15,664,15664
BOYACA,SAN LUIS DE GACENO,15,667,15667
BOYACA,SAN MATEO,15,673,15673
BOYACA,SAN MIGUEL DE SEMA,15,676,15676
BOYACA,SAN PABLO DE BORBUR,15,681,15681
BOYACA,SANTANA,15,686,15686
BOYACA,SANTA MARÍA,15,690,15690
BOYACA,SANTA ROSA DE VITERBO,15,693,15693
BOYACA,SANTA SOFÍA,15,696,15696
BOYACA,SATIVANORTE,15,720,15720
BOYACA,SATIVASUR,15,723,15723
BOYACA,SIACHOQUE,15,740,15740
BOYACA,SOATÁ,15,753,15753
BOYACA,SOCOTÁ,15,755,15755
BOYACA,SOCHA,15,757,15757
BOYACA,SOGAMOSO,15,759,15759
BOYACA,SOMONDOCO,15,761,15761
BOYACA,SORA,15,762,15762
BOYACA,SOTAQUIRÁ,15,763,15763
BOYACA,SORACÁ,15,764,15764
BOYACA,SUSACÓN,15,774,15774
BOYACA,SUTAMARCHÁN,15,776,15776
BOYACA,SUTATENZA,15,778,15778
BOYACA,TASCO,15,790,15790
BOYACA,TENZA,15,798,15798
BOYACA,TIBANÁ,15,804,15804
BOYACA,TIBASOSA,15,806,15806
BOYACA,TINJACÁ,15,808,15808
BOYACA,TIPACOQUE,15,810,15810
BOYACA,TOCA,15,814,15814
BOYACA,TOGÜÍ,15,816,15816
BOYACA,TÓPAGA,15,820,15820
BOYACA,TOTA,15,822,15822
BOYACA,TUNUNGUÁ,15,832,15832
BOYACA,TURMEQUÉ,15,835,15835
BOYACA,TUTA,15,837,15837
BOYACA,TUTAZÁ,15,839,15839
BOYACA,UMBITA,15,842,15842
BOYACA,VENTAQUEMADA,15,861,15861
BOYACA,VIRACACHÁ,15,879,15879
BOYACA,ZETAQUIRA,15,897,15897
CALDAS,MANIZALES,17,1,17001
CALDAS,AGUADAS,17,13,17013
CALDAS,ANSERMA,17,42,17042
CALDAS,ARANZAZU,17,50,17050
CALDAS,BELALCÁZAR,17,88,17088
CALDAS,CHINCHINÁ,17,174,17174
CALDAS,FILADELFIA,17,272,17272
CALDAS,LA DORADA,17,380,17380
CALDAS,LA MERCED,17,388,17388
CALDAS,MANZANARES,17,433,17433
CALDAS,MARMATO,17,442,17442
CALDAS,MARQUETALIA,17,444,17444
CALDAS,MARULANDA,17,446,17446
CALDAS,NEIRA,17,486,17486
CALDAS,NORCASIA,17,495,17495
CALDAS,PÁCORA,17,513,17513
CALDAS,PALESTINA,17,524,17524
CALDAS,PENSILVANIA,17,541,17541
CALDAS,RIOSUCIO,17,614,17614
CALDAS,RISARALDA,17,616,17616
CALDAS,SALAMINA,17,653,17653
CALDAS,SAMANÁ,17,662,17662
CALDAS,SAN JOSÉ,17,665,17665
CALDAS,SUPÍA,17,777,17777
CALDAS,VICTORIA,17,867,17867
CALDAS,VILLAMARÍA,17,873,17873
CALDAS,VITERBO,17,877,17877
CAQUETA,FLORENCIA,18,1,18001
CAQUETA,ALBANIA,18,29,18029
CAQUETA,BELÉN DE LOS ANDAQUIES,18,94,18094
CAQUETA,CARTAGENA DEL CHAIRÁ,18,150,18150
CAQUETA,CURILLO,18,205,18205
CAQUETA,EL DONCELLO,18,247,18247
CAQUETA,EL PAUJIL,18,256,18256
CAQUETA,LA MONTAÑITA,18,410,18410
CAQUETA,MILÁN,18,460,18460
CAQUETA,MORELIA,18,479,18479
CAQUETA,PUERTO RICO,18,592,18592
CAQUETA,SAN JOSÉ DEL FRAGUA,18,610,18610
CAQUETA,SAN VICENTE DEL CAGUÁN,18,753,18753
CAQUETA,SOLANO,18,756,18756
CAQUETA,SOLITA,18,785,18785
CAQUETA,VALPARAÍSO,18,860,18860
CAUCA,POPAYÁN,19,1,19001
CAUCA,ALMAGUER,19,22,19022
CAUCA,ARGELIA,19,50,19050
CAUCA,BALBOA,19,75,19075
CAUCA,BOLÍVAR,19,100,19100
CAUCA,BUENOS AIRES,19,110,19110
CAUCA,CAJIBÍO,19,130,19130
CAUCA,CALDONO,19,137,19137
CAUCA,CALOTO,19,142,19142
CAUCA,CORINTO,19,212,19212
CAUCA,EL TAMBO,19,256,19256
CAUCA,FLORENCIA,19,290,19290
CAUCA,GUAPI,19,318,19318
CAUCA,INZÁ,19,355,19355
CAUCA,JAMBALÓ,19,364,19364
CAUCA,LA SIERRA,19,392,19392
CAUCA,LA VEGA,19,397,19397
CAUCA,LÓPEZ,19,418,19418
CAUCA,MERCADERES,19,450,19450
CAUCA,MIRANDA,19,455,19455
CAUCA,MORALES,19,473,19473
CAUCA,PADILLA,19,513,19513
CAUCA,PAEZ,19,517,19517
CAUCA,PATÍA,19,532,19532
CAUCA,PIAMONTE,19,533,19533
CAUCA,PIENDAMÓ,19,548,19548
CAUCA,PUERTO TEJADA,19,573,19573
CAUCA,PURACÉ,19,585,19585
CAUCA,ROSAS,19,622,19622
CAUCA,SAN SEBASTIÁN,19,693,19693
CAUCA,SANTANDER DE QUILICHAO,19,698,19698
CAUCA,SANTA ROSA,19,701,19701
CAUCA,SILVIA,19,743,19743
CAUCA,SOTARA,19,760,19760
CAUCA,SUÁREZ,19,780,19780
CAUCA,SUCRE,19,785,19785
CAUCA,TIMBÍO,19,807,19807
CAUCA,TIMBIQUÍ,19,809,19809
CAUCA,TORIBIO,19,821,19821
CAUCA,TOTORÓ,19,824,19824
CAUCA,VILLA RICA,19,845,19845
CAUCA,GUACHENE,19,300,19300
CESAR,VALLEDUPAR,20,1,20001
CESAR,AGUACHICA,20,11,20011
CESAR,AGUSTÍN CODAZZI,20,13,20013
CESAR,ASTREA,20,32,20032
CESAR,BECERRIL,20,45,20045
CESAR,BOSCONIA,20,60,20060
CESAR,CHIMICHAGUA,20,175,20175
CESAR,CHIRIGUANÁ,20,178,20178
CESAR,CURUMANÍ,20,228,20228
CESAR,EL COPEY,20,238,20238
CESAR,EL PASO,20,250,20250
CESAR,GAMARRA,20,295,20295
CESAR,GONZÁLEZ,20,310,20310
CESAR,LA GLORIA,20,383,20383
CESAR,LA JAGUA DE IBIRICO,20,400,20400
CESAR,MANAURE,20,443,20443
CESAR,PAILITAS,20,517,20517
CESAR,PELAYA,20,550,20550
CESAR,PUEBLO BELLO,20,570,20570
CESAR,RÍO DE ORO,20,614,20614
CESAR,LA PAZ,20,621,20621
CESAR,SAN ALBERTO,20,710,20710
CESAR,SAN DIEGO,20,750,20750
CESAR,SAN MARTÍN,20,770,20770
CESAR,TAMALAMEQUE,20,787,20787
CORDOBA,MONTERÍA,23,1,23001
CORDOBA,AYAPEL,23,68,23068
CORDOBA,BUENAVISTA,23,79,23079
CORDOBA,CANALETE,23,90,23090
CORDOBA,CERETÉ,23,162,23162
CORDOBA,CHIMÁ,23,168,23168
CORDOBA,CHINÚ,23,182,23182
CORDOBA,CIÉNAGA DE ORO,23,189,23189
CORDOBA,COTORRA,23,300,23300
CORDOBA,LA APARTADA,23,350,23350
CORDOBA,LORICA,23,417,23417
CORDOBA,LOS CÓRDOBAS,23,419,23419
CORDOBA,MOMIL,23,464,23464
CORDOBA,MONTELÍBANO,23,466,23466
CORDOBA,MOÑITOS,23,500,23500
CORDOBA,PLANETA RICA,23,555,23555
CORDOBA,PUEBLO NUEVO,23,570,23570
CORDOBA,PUERTO ESCONDIDO,23,574,23574
CORDOBA,PUERTO LIBERTADOR,23,580,23580
CORDOBA,PURÍSIMA,23,586,23586
CORDOBA,SAHAGÚN,23,660,23660
CORDOBA,SAN ANDRÉS SOTAVENTO,23,670,23670
CORDOBA,SAN ANTERO,23,672,23672
CORDOBA,SAN BERNARDO DEL VIENTO,23,675,23675
CORDOBA,SAN CARLOS,23,678,23678
CORDOBA,SAN PELAYO,23,686,23686
CORDOBA,TIERRALTA,23,807,23807
CORDOBA,VALENCIA,23,855,23855
CORDOBA,TUCHÍN,23,815,23815
CUNDINAMARCA,AGUA DE DIOS,25,1,25001
CUNDINAMARCA,ALBÁN,25,19,25019
CUNDINAMARCA,ANAPOIMA,25,35,25035
CUNDINAMARCA,ANOLAIMA,25,40,25040
CUNDINAMARCA,ARBELÁEZ,25,53,25053
CUNDINAMARCA,BELTRÁN,25,86,25086
